"filename", "language", "Python", "PowerShell", "JSON", "JSON Lines", "Markdown", "comment", "blank", "total"
"/home/kali/penhackit/mvp/sessions/session_20260223_212955/session_context.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 6
"/home/kali/penhackit/mvp/sessions/session_20260223_213020/kb.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 8
"/home/kali/penhackit/mvp/sessions/session_20260223_213020/session_config.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 4
"/home/kali/penhackit/mvp/sessions/session_20260223_213020/session_context.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 6
"/home/kali/penhackit/mvp/sessions/session_20260223_213020/steps.jsonl", "JSON Lines", 0, 0, 0, 11, 0, 0, 1, 12
"/home/kali/penhackit/mvp/sessions/session_20260223_213136/kb.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 8
"/home/kali/penhackit/mvp/sessions/session_20260223_213136/session_config.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 4
"/home/kali/penhackit/mvp/sessions/session_20260223_213136/session_context.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 6
"/home/kali/penhackit/mvp/sessions/session_20260223_213136/steps.jsonl", "JSON Lines", 0, 0, 0, 11, 0, 0, 1, 12
"/home/kali/penhackit/mvp/sessions/session_20260223_213204/kb.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 8
"/home/kali/penhackit/mvp/sessions/session_20260223_213204/session_config.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 4
"/home/kali/penhackit/mvp/sessions/session_20260223_213204/session_context.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 6
"/home/kali/penhackit/mvp/sessions/session_20260223_213204/steps.jsonl", "JSON Lines", 0, 0, 0, 11, 0, 0, 1, 12
"/home/kali/penhackit/mvp/sessions/session_20260223_213405/kb.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 8
"/home/kali/penhackit/mvp/sessions/session_20260223_213405/session_config.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 4
"/home/kali/penhackit/mvp/sessions/session_20260223_213405/session_context.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 6
"/home/kali/penhackit/mvp/sessions/session_20260223_213405/steps.jsonl", "JSON Lines", 0, 0, 0, 11, 0, 0, 1, 12
"/home/kali/penhackit/mvp/sessions/session_20260223_214436/kb.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 8
"/home/kali/penhackit/mvp/sessions/session_20260223_214436/session_config.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 4
"/home/kali/penhackit/mvp/sessions/session_20260223_214436/session_context.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 6
"/home/kali/penhackit/mvp/sessions/session_20260223_214436/steps.jsonl", "JSON Lines", 0, 0, 0, 11, 0, 0, 1, 12
"/home/kali/penhackit/mvp/sessions/session_20260223_214604/kb.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 8
"/home/kali/penhackit/mvp/sessions/session_20260223_214604/session_config.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 4
"/home/kali/penhackit/mvp/sessions/session_20260223_214604/session_context.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 6
"/home/kali/penhackit/mvp/sessions/session_20260223_214604/steps.jsonl", "JSON Lines", 0, 0, 0, 6, 0, 0, 1, 7
"/home/kali/penhackit/mvp/sessions/session_20260223_215427/kb.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 8
"/home/kali/penhackit/mvp/sessions/session_20260223_215427/session_config.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 4
"/home/kali/penhackit/mvp/sessions/session_20260223_215427/session_context.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 6
"/home/kali/penhackit/mvp/sessions/session_20260223_215540/kb.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 8
"/home/kali/penhackit/mvp/sessions/session_20260223_215540/session_config.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 4
"/home/kali/penhackit/mvp/sessions/session_20260223_215540/session_context.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 6
"/home/kali/penhackit/mvp/sessions/session_20260223_215540/steps.jsonl", "JSON Lines", 0, 0, 0, 6, 0, 0, 1, 7
"/home/kali/penhackit/mvp/sessions/session_20260223_215604/kb.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 8
"/home/kali/penhackit/mvp/sessions/session_20260223_215604/session_config.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 4
